Competition,End time,Biomass,Population size,Growthrate
4_cells_1,288.69999999999715,0.20825023695169562,0.28842341728520027,0.44710790940784512
4_cells_2,257.99999999999017,0.24903913586704093,0.33463905553955192,0.56141301635325713
4_cells_3,288.099999999997,-1.7321665161679896,-1.6541602743842068,-5.4488219007076513
4_cells_4,296.4999999999989,0.36433762214159021,0.45134757192037783,0.61341630332749253
4_cells_5,274.69999999999396,0.04324786692668954,0.13535242237348602,0.41310868505388032
8_cells_1,300.49999999999983,-0.42289774046053458,-0.34402026786260093,0.18310315648270306
8_cells_2,277.5999999999946,0.14674493034090405,0.23995658764829178,0.60416466134524172
8_cells_3,324.80000000000535,-2.5976455355908237,-2.5107764255513865,-10.822261151002719
8_cells_4,268.6999999999926,-0.15167065328688226,-0.058171338686982453,0.19000416149679442
8_cells_5,299.4999999999996,0.51821936748804442,0.61113257532517151,1.9637490016096781
16_cells_1,269.39999999999276,1.3089116387719053,1.3908309111322985,4.3858170096524001
16_cells_2,282.6999999999958,-0.0080146902207011879,0.077894479135246816,0.52530823407838789
16_cells_3,321.8000000000047,-0.50891726433701767,-0.42143310782348492,-0.19555198109509819
16_cells_4,345.30000000001,-1.8361672180313859,-1.7525659665889182,-18.727586473753099
16_cells_5,337.2000000000082,-2.7466215008586952,-2.6701671345673161,-10.820984745958569
32_cells_1,322.4000000000048,-1.7412978576074714,-1.6647529594681993,-8.903544148050571
32_cells_2,348.00000000001063,-2.9102471109476649,-2.8439650719164833,-10.789420001147219
32_cells_3,348.10000000001065,-2.6879327467692704,-2.6181379673915166,-10.790336422503511
32_cells_4,350.5000000000112,-2.5875967965894566,-2.5023462840733561,-10.821211557717852
32_cells_5,328.4000000000062,-2.7584271140659178,-2.6911395184463904,-10.826280968893906
